INFO 2024-08-12 11:29:08,567 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-12 11:29:08,772 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\utils\translation\reloader.py first seen with mtime 1706593859.6112912
DEBUG 2024-08-12 11:29:08,772 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\importlib\resources\abc.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,773 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\html\entities.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,773 autoreload File D:\django synclab\synclab\myapp\views.py first seen with mtime 1723442345.042605
DEBUG 2024-08-12 11:29:08,773 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1706593858.118074
DEBUG 2024-08-12 11:29:08,773 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\importlib\__init__.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,774 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\importlib\metadata\_itertools.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,774 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\admin\templatetags\__init__.py first seen with mtime 1706593858.5050318
DEBUG 2024-08-12 11:29:08,775 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\zoneinfo\_tzpath.py first seen with mtime 1666616650.0
DEBUG 2024-08-12 11:29:08,775 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\files\storage\__init__.py first seen with mtime 1706593859.4681764
DEBUG 2024-08-12 11:29:08,776 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\contrib\contenttypes\admin.py first seen with mtime 1706593858.6870103
DEBUG 2024-08-12 11:29:08,776 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\base64.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,776 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\db\backends\base\operations.py first seen with mtime 1706593859.4968722
DEBUG 2024-08-12 11:29:08,776 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\core\checks\files.py first seen with mtime 1706593859.4601116
DEBUG 2024-08-12 11:29:08,777 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\templatetags\i18n.py first seen with mtime 1706593859.5898
DEBUG 2024-08-12 11:29:08,777 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\email\policy.py first seen with mtime 1666616648.0
DEBUG 2024-08-12 11:29:08,778 autoreload File D:\Learning\Python\django\Admin Panel\myvenv\Lib\site-packages\django\template\loader_tags.py first seen with mtime 1706593859.5848
DEBUG 2024-08-12 11:29:08,779 autoreload File C:\Users\dharm\AppData\Local\Programs\Python\Python311\Lib\lzma.py first seen with mtime 1666616648.0
